;Evaluation
0;0.9262
1;2.0685
2;2.4251
3;4.7683
4;4.3278
5;4.9676
6;5.0824
7;6.0228
8;7.7057
9;9.1460
10;11.4730
11;8.0507
12;10.8824
13;11.8192
14;13.4914
15;14.4199
16;13.7572
17;13.3282
18;15.7489
19;17.6149
20;20.8897
21;17.4346
22;16.7249
23;18.5085
24;31.6773
25;32.5874
26;26.9962
27;32.0705
28;52.9800
29;23.2514
30;34.8953
31;35.7375
32;36.6552
33;24.7731
34;45.9482
35;22.0167
36;27.3640
37;50.6514
38;56.6137
39;57.5111
40;28.3339
41;35.9328
42;36.8690
43;53.1451
44;38.4521
45;44.5094
46;36.0798
47;32.1129
48;36.2200
49;46.2073
50;53.7328
51;63.6014
52;45.8263
53;60.8444
54;61.7653
55;58.2791
56;41.7423
57;56.5831
58;78.0640
59;78.9715
60;62.9738
61;63.8995
62;100.2808
63;82.9512
64;46.5706
65;78.5289
66;50.5380
67;37.8909
68;62.5053
69;53.5794
70;57.4981
71;80.5309
72;66.3637
73;45.1984
74;55.1839
75;111.2632
76;56.5717
77;71.5893
78;53.0166
79;90.6301
80;36.6684
81;94.0029
82;62.0487
83;66.2594
84;105.8240
85;75.6387
86;76.5751
87;93.9091
88;58.1167
89;56.6524
90;91.5655
91;106.5728
92;99.8798
93;70.8550
94;84.2373
95;85.1727
96;112.2877
97;105.1930
98;92.9772
99;213.3713
100;187.5720
101;79.9232
102;127.4523
103;77.4146
104;141.6303
105;142.5295
106;131.5633
107;113.6953
108;107.0394
109;77.4069
110;86.4887
111;183.4694
112;87.8521
113;120.1537
114;169.1021
115;130.9864
116;90.5675
117;172.9754
118;83.3190
119;80.4832
120;127.3987
121;85.8829
122;121.1659
123;152.3705
124;115.2129
125;71.8508
126;104.7252
127;210.3294
128;158.6568
129;101.1497
130;88.2916
131;108.8545
132;140.8808
133;104.7490
134;133.6035
135;223.5350
136;106.8303
137;136.2460
138;128.6648
139;109.2940
140;173.9615
141;190.6835
142;73.2919
143;76.8713
144;144.4222
145;121.2911
146;146.4786
147;85.4652
148;112.0501
149;70.9921
150;207.4256
151;286.0794
152;92.5022
153;331.2050
154;145.8288
155;112.0569
156;124.7704
157;125.7145
158;120.3773
159;121.3224
160;243.5410
161;129.1219
162;137.2357
163;155.3247
164;249.4132
165;86.9692
166;158.5669
167;159.4806
168;142.7032
169;112.6357
170;162.7873
171;201.2739
172;131.7592
173;203.6220
174;166.3770
175;242.8188
176;141.5255
177;224.9964
178;193.7784
179;160.5221
180;130.8962
181;172.7273
182;139.1134
183;464.3775
184;140.2593
185;141.2068
186;157.8364
187;259.1825
188;159.3310
189;137.5158
190;132.1722
191;146.3339
192;128.1935
193;268.9389
194;185.8270
195;271.1898
196;199.8022
197;250.6655
198;251.5620
199;216.4758
200;217.3916
201;305.2207
202;139.6871
203;162.6879
204;221.6435
205;194.8696
206;156.8420
207;112.9916
208;176.7060
209;265.9717
210;160.5305
211;230.2548
212;170.6070
213;232.4636
214;407.6639
215;109.6744
216;254.0100
217;151.0486
218;175.8392
219;209.7454
220;240.6309
221;211.4770
222;179.0298
223;189.9166
224;342.7443
225;181.3338
226;689.8587
227;192.5692
228;166.0068
229;233.3344
230;206.8208
231;176.7449
232;208.8735
233;137.5298
234;128.6655
235;164.6593
236;227.3402
237;192.3853
238;167.1006
239;368.5070
240;246.5860
241;337.1560
242;186.3836
243;466.8309
244;220.6206
245;164.0059
246;180.5713
247;271.7834
248;132.1684
249;479.9632
250;275.1702
251;184.3968
252;242.9523
253;186.0557
254;326.5121
255;280.7706
256;207.8034
257;180.4146
258;209.8453
259;190.8106
260;211.8379
261;202.1947
262;311.9873
263;214.4099
264;272.5139
265;117.7617
266;516.0677
267;243.7937
268;219.0738
269;347.7614
270;299.0023
271;247.1656
272;201.0345
273;212.0336
274;265.9754
275;387.7811
276;267.5295
277;179.3085
278;240.0160
279;432.9264
280;333.9242
281;256.2923
282;257.2286
283;209.1834
284;191.9455
285;340.5171
286;296.0449
287;262.1511
288;343.7278
289;249.1794
290;345.9246
291;215.0933
292;301.9950
293;267.4038
294;325.6161
295;326.5402
296;269.8500
297;306.7556
298;210.1013
299;578.6113
300;244.5702
301;259.0981
302;311.8484
303;335.0481
304;294.1009
305;337.0401
306;278.4981
307;250.1246
308;679.7625
309;298.3306
310;682.7483
311;368.5500
312;343.1459
313;134.4164
314;211.3429
315;374.8315
316;348.9783
317;213.3735
318;409.8513
319;224.5016
320;412.5000
321;248.4437
322;262.4617
323;172.9127
324;279.5216
325;265.7542
326;211.3442
327;254.5582
328;268.8979
329;365.8510
330;233.7566
331;368.2554
332;144.1802
333;226.6272
334;275.2808
335;403.2369
336;328.5021
337;329.4327
338;230.1229
339;189.9854
340;197.9704
341;255.4605
342;224.4827
343;539.6507
344;284.9206
345;181.4136
346;495.6670
347;176.8459
348;499.2832
349;250.5942
350;345.5022
351;326.0603
352;462.8291
353;155.2480
354;373.5192
355;208.4714
356;256.8030
357;471.7181
358;247.0675
359;285.0733
360;408.1482
361;220.7291
362;479.1598
363;575.8825
364;480.8158
365;275.7015
366;341.5110
367;484.7149
368;243.3118
369;308.2847
370;326.3522
371;310.1218
372;227.5856
373;370.7581
374;229.1141
375;542.4481
376;663.8737
377;854.3859
378;352.7392
379;353.6725
380;155.1358
381;404.2704
382;467.3868
383;608.4007
384;553.9761
385;508.7215
386;555.8716
387;322.7652
388;472.6503
389;410.4948
390;474.5661
391;257.9687
392;326.7963
393;690.7844
394;389.4978
395;250.2358
396;447.7736
397;330.8821
398;449.9798
399;450.9041
400;421.7757
401;244.2908
402;374.5303
403;304.1289
404;355.7594
405;356.7016
406;378.6219
407;322.7766
408;646.4465
409;431.8907
410;382.0165
411;241.4535
412;466.5834
413;436.4077
414;328.2505
415;346.4643
416;507.2897
417;440.5775
418;348.7692
419;829.1932
420;332.6237
421;392.2581
422;556.6129
423;319.0154
424;447.5486
425;611.1946
426;396.4121
427;613.5396
428;338.3904
429;967.6821
430;357.4059
431;283.9011
432;525.0422
433;488.4598
434;360.8612
435;528.3284
436;344.3577
437;383.5442
438;288.6146
439;578.1416
440;496.4670
441;331.8804
442;634.4949
443;499.4591
444;368.9671
445;468.2886
446;370.6468
447;415.1918
448;353.8593
449;506.4397
450;473.6083
451;339.2309
452;509.7712
453;286.4299
454;422.1602
455;449.4792
456;514.6111
457;241.1175
458;804.6059
459;725.0415
460;484.2866
461;303.6320
462;429.5850
463;1044.1227
464;366.3903
465;386.6194
466;350.7471
467;491.9781
468;528.0450
469;616.9668
470;463.6592
471;571.5749
472;1239.1881
473;930.2602
474;414.3818
475;498.1882
476;394.2508
477;375.4360
478;751.7634
479;443.1521
480;754.2558
481;686.5927
482;630.2766
483;316.0939
484;330.7898
485;846.2338
486;347.1389
487;425.1680
488;451.1148
489;480.2376
490;385.1221
491;514.4262
492;368.3961
493;596.0095
494;646.5905
495;324.2514
496;289.1821
497;521.4580
498;373.4195
499;341.9019
500;328.6124
501;564.2614
502;659.2153
503;495.3449
504;441.2314
505;318.6430
506;420.2083
507;470.5819
508;445.3751
509;729.6942
510;446.8647
511;403.1215
512;323.4543
513;674.7736
514;675.6851
515;387.0557
516;387.9593
517;510.1316
518;545.0712
519;909.3361
520;819.2934
521;683.6539
522;316.4904
523;633.9019
524;634.8229
525;516.7232
526;460.2494
527;691.2824
528;553.8827
529;396.5784
530;490.8286
531;557.1979
532;523.2971
533;698.6325
534;645.8106
535;646.7277
536;366.4933
537;384.0588
538;445.6175
539;326.6027
540;531.6627
541;258.7415
542;570.1610
543;571.0837
544;779.5618
545;215.3521
546;663.5418
547;320.4263
548;618.8834
549;394.7867
550;543.7669
551;415.2449
552;623.7932
553;460.5826
554;584.3303
555;797.7108
556;675.8667
557;352.3702
558;588.2107
559;491.1156
560;492.0568
561;682.2261
562;634.4215
563;556.0544
564;405.2955
565;637.8153
566;470.9081
567;498.0094
568;690.4627
569;642.0664
570;600.1746
571;601.1031
572;501.8601
573;393.7122
574;504.0175
575;1008.8932
576;606.2654
577;569.3070
578;759.9872
579;415.4816
580;538.6190
581;382.4730
582;574.6403
583;368.7274
584;709.9357
585;616.1975
586;402.8197
587;488.5619
588;581.0979
589;388.3532
590;518.7462
591;445.5853
592;780.6674
593;551.9923
594;447.7981
595;362.6416
596;674.4014
597;859.2354
598;591.5954
599;339.0076
600;731.0904
601;560.0002
602;476.9477
603;682.2725
