;Evaluation
0;1500.0582
1;0.9059
2;0.9273
3;0.9319
4;0.9065
5;0.8499
6;0.9181
7;0.9492
8;0.8473
9;0.9633
10;0.9468
11;0.8868
12;0.8928
13;0.9577
14;0.9096
15;0.9358
16;0.9288
17;0.9291
18;0.9375
19;0.9422
20;0.9504
21;0.9149
22;0.9288
23;0.9551
24;0.8975
25;0.9192
26;0.9119
27;0.9293
28;0.8890
29;0.9368
30;0.9396
31;0.9137
32;0.9149
33;0.9216
34;0.9445
35;0.9593
36;0.9483
37;0.9385
38;0.9307
39;0.9623
40;0.9251
41;0.9405
42;0.9308
43;0.9596
44;0.9057
45;0.9005
46;0.9317
47;0.9509
48;0.9213
49;0.9200
50;0.9352
51;0.9694
52;0.9531
53;0.9348
54;0.9386
55;0.9484
56;0.9449
57;0.9618
58;0.9634
59;0.9502
60;0.9697
61;0.9047
62;0.8793
63;0.9202
64;0.9259
65;0.8985
66;0.9379
67;0.9345
68;0.9331
69;0.9356
70;0.9387
71;0.8734
72;0.9524
73;0.9252
74;0.8401
75;0.9375
76;0.9410
77;0.8851
78;0.9480
79;0.9298
80;0.9262
81;0.8454
82;0.9115
83;0.9208
84;0.9227
85;0.9287
86;0.9473
87;0.9599
88;0.9220
89;0.9304
90;0.8924
91;0.8677
92;0.9591
93;0.9555
94;0.8151
95;0.9256
96;0.8972
97;0.9479
98;0.9343
99;0.9349
100;0.9039
101;0.8480
102;0.9480
103;0.8247
104;0.9358
105;0.9354
106;0.9126
107;0.9137
108;0.9064
109;0.9193
110;0.9315
111;0.9484
112;0.9172
113;0.9249
114;0.8938
115;0.9320
116;0.9204
117;0.9399
118;0.9495
119;0.9545
120;0.9583
121;0.8396
122;0.8563
123;0.8207
124;0.9360
125;0.8976
126;0.9346
127;0.9153
128;0.9073
129;0.8834
130;0.9350
131;0.9152
132;0.9202
133;0.9270
134;0.9294
135;0.9382
136;0.9519
137;0.9167
138;0.9171
139;0.9416
140;0.9349
141;0.9357
142;0.9599
143;0.9156
144;0.8477
145;0.9412
146;0.9383
147;0.9395
148;0.9190
149;0.9463
150;0.9080
151;0.9410
152;0.9514
153;0.9119
154;0.9443
155;0.9356
156;0.9108
157;0.9520
158;0.9428
159;0.9189
160;0.9194
161;0.9061
162;0.9606
163;0.9152
164;0.9259
165;0.9463
166;0.9373
167;0.8558
168;0.9301
169;0.9178
170;0.9416
171;0.9042
172;0.9339
173;0.8693
174;0.8667
175;0.8045
176;0.8864
177;0.9386
178;0.9238
179;0.8802
180;0.9475
181;0.8948
182;0.9070
183;0.8693
184;0.9384
185;0.9497
186;0.9278
187;0.9492
188;0.8977
189;0.9457
190;0.8844
191;0.9174
192;0.9318
193;0.7877
194;0.9483
195;0.9260
196;0.9348
197;0.9213
198;0.9629
199;0.9199
200;0.9411
201;0.8742
202;0.8412
203;0.8862
204;0.9460
205;0.9377
206;0.9473
207;0.9142
208;0.9514
209;0.9472
210;0.8877
211;0.9266
212;0.9232
213;0.9296
214;0.9355
215;0.9006
216;0.9046
217;0.9385
218;0.9358
219;0.9466
220;0.8483
221;0.9246
222;0.9479
223;0.9019
224;0.9428
225;0.9237
226;0.9449
227;0.9149
228;0.9024
229;0.9313
230;0.9429
231;0.9559
232;0.9176
233;0.9173
234;0.9237
235;0.9260
236;0.8854
237;0.9346
238;0.9376
239;0.9246
240;0.9579
241;0.9325
242;0.9475
243;0.9586
244;0.9303
245;0.9539
246;0.8960
247;0.8971
248;0.8986
249;0.9362
250;0.9179
251;0.8958
252;0.9046
253;0.9207
254;0.9342
255;0.9456
256;0.9408
257;0.9459
258;0.9142
259;0.9259
260;0.9041
261;0.8938
262;0.9126
263;0.9574
264;0.9208
265;0.9324
266;0.8967
267;0.9310
268;0.9103
269;0.9064
270;0.9141
271;0.8955
272;0.9072
273;0.9392
274;0.8711
275;0.8833
276;0.9219
277;0.9390
278;0.9402
279;0.9403
280;0.6487
281;0.9168
282;0.8889
283;0.9088
284;0.9463
285;0.9317
286;0.8977
287;0.9389
288;0.9207
289;0.9095
290;0.9317
291;0.9263
292;0.9507
293;0.9415
294;0.8460
295;0.9162
296;0.9403
297;0.9342
298;0.9539
299;0.9455
300;0.9570
301;0.9452
302;0.8635
303;0.9527
304;0.9201
305;0.8623
306;0.9333
307;0.9265
308;0.9221
309;0.9340
310;0.9250
311;0.8908
312;0.8854
313;0.9299
314;0.9408
315;0.9209
316;0.8665
317;0.9412
318;0.8968
319;0.9026
320;0.9344
321;0.9307
322;0.8963
