;Evaluation
0;0.9051
1;1.5955
2;2.4306
3;3.1004
4;6.4601
5;5.8822
6;4.9186
7;19.4780
8;5.7934
9;6.4651
10;10.6236
11;8.3837
12;21.8285
13;11.8384
14;18.1181
15;22.9730
16;19.6930
17;20.5976
18;17.1103
19;20.8696
20;18.8141
21;15.5731
22;16.5050
23;27.8829
24;22.8307
25;16.1677
26;22.1526
27;36.3399
28;28.8730
29;19.7132
30;22.8448
31;25.0680
32;39.6469
33;30.0023
34;21.4096
35;59.7443
36;29.0525
37;24.4636
38;40.4379
39;35.9105
40;77.8013
41;37.2361
42;21.6480
43;73.9235
44;35.7073
45;29.8080
46;53.0767
47;38.4038
48;94.1203
49;39.6921
50;57.1446
51;46.6471
52;32.7583
53;72.9667
54;53.0455
55;44.6153
56;95.6705
57;35.7424
58;28.0757
59;46.1743
60;56.3373
61;61.2861
62;58.1232
63;97.7433
64;74.2201
65;60.3065
66;54.1492
67;132.3317
68;55.3978
69;73.3550
70;64.5060
71;70.0396
72;62.2190
73;56.2470
74;68.4271
75;65.0837
76;66.0176
77;66.9371
78;83.3023
79;73.1264
80;92.3207
81;62.4865
82;47.8206
83;287.6702
84;128.7390
85;69.0934
86;74.3454
87;80.2332
88;93.4974
89;94.4160
90;112.4857
91;66.0688
92;79.3910
93;71.5129
94;62.2450
95;119.7307
96;110.6659
97;103.0744
98;84.6822
99;55.1541
100;73.5169
101;100.6976
102;53.1738
103;63.3338
104;162.7393
105;105.5430
106;68.1166
107;100.8330
108;126.9533
109;61.8933
110;155.5828
111;98.1750
112;121.7513
113;176.7385
114;123.2731
115;95.2048
116;135.7850
117;86.7031
118;150.6634
119;139.0035
120;139.9174
121;65.5366
122;95.6052
123;108.4895
124;174.4795
125;135.1324
126;136.0508
127;94.0324
128;128.5415
129;225.8196
130;301.7584
131;107.4382
132;166.9404
133;153.9324
134;109.5827
135;98.9804
136;126.3061
137;127.2366
138;147.7260
139;275.0607
140;149.0298
141;89.0130
142;109.7175
143;110.6602
144;118.1001
145;126.4099
146;119.9132
147;170.7480
148;137.5132
149;115.5157
150;160.8538
151;161.7659
152;351.3079
153;151.4863
154;97.3516
155;90.1936
156;136.2113
157;182.5244
158;100.5103
159;131.0032
160;172.1564
161;224.6989
162;281.7465
163;133.5261
164;190.0768
165;135.1117
166;154.0506
167;193.4777
168;166.7636
169;146.8535
170;118.4305
171;296.8840
172;159.2661
173;218.0859
174;267.4252
175;161.3201
176;116.1625
177;144.4194
178;176.2902
179;113.1380
180;227.0912
181;250.6847
182;148.4008
183;158.6114
184;134.5115
185;99.2516
186;199.4186
187;90.3580
188;239.1157
189;203.2484
190;133.0587
191;95.9976
192;207.6840
193;225.9046
194;209.4424
195;389.8183
196;119.5874
197;250.9496
198;163.3149
199;214.4828
200;155.8408
201;312.5537
202;217.2958
203;113.9512
204;106.4672
205;125.9368
206;207.8217
207;265.4074
208;195.5633
209;226.5689
210;129.0129
211;248.1878
212;271.6280
213;214.3378
214;200.9734
215;302.3549
216;378.8147
217;379.6776
218;277.0253
219;191.3903
220;236.4024
221;205.8106
222;386.7597
223;104.1004
224;209.1319
225;262.3209
226;225.7567
227;211.6354
228;265.4390
229;266.3387
230;213.9568
231;153.7501
232;359.6330
233;324.5655
234;191.8588
235;297.4160
236;113.7759
237;207.1524
238;221.8937
239;238.6694
240;209.7709
241;177.5911
242;199.4204
243;283.4217
244;243.8575
245;228.5223
246;312.5247
247;287.3917
248;493.5164
249;494.3613
250;346.9449
251;386.3802
252;194.1324
253;195.0716
254;351.9279
255;196.4580
256;197.3957
257;187.9523
258;156.2171
259;240.4651
260;213.1059
261;107.5155
262;115.2017
263;194.9694
264;195.9148
265;149.8529
266;375.5236
267;251.2736
268;343.5508
269;146.3087
270;224.6475
271;273.7042
272;349.2526
273;175.5797
274;322.8073
275;298.8793
276;354.1268
277;163.2582
278;653.8569
279;231.7115
280;563.5762
281;304.3741
282;264.6872
283;249.0584
284;249.9922
285;223.1578
286;201.7839
287;449.2939
288;506.3262
289;450.9519
290;254.5964
291;240.5557
292;273.5613
293;242.3141
294;295.1650
295;207.5596
296;320.2429
297;595.5811
298;199.4681
299;247.3388
300;468.0727
301;234.9798
302;282.9026
303;213.1227
304;285.0945
305;428.5338
306;154.0068
307;270.4327
308;289.3877
309;620.9619
310;272.6055
311;243.2558
312;258.5039
313;550.1902
314;629.6410
315;201.2913
316;317.2177
317;234.6818
318;406.2625
319;204.0801
320;346.2871
321;347.2036
322;348.1221
323;197.7161
324;506.1315
325;351.3111
326;254.6657
327;255.6068
328;512.0915
329;330.1232
330;193.5242
331;245.3930
332;389.4533
333;246.8978
334;261.5537
335;214.9510
336;296.4893
337;475.2664
338;238.5801
339;266.0305
340;399.9588
341;320.8971
342;268.3502
343;285.0699
344;485.5148
345;270.6702
346;375.6943
347;407.9096
348;377.4528
349;273.5413
350;493.1717
351;449.2443
352;549.9604
353;225.9347
354;185.0554
355;625.4305
356;417.8644
357;418.7777
358;838.3634
359;360.2208
360;361.1477
361;723.0080
362;633.4427
363;338.7367
364;268.3656
365;425.8110
366;730.8122
367;366.3331
368;395.4335
369;303.3258
370;369.2495
371;370.1761
372;472.0390
373;248.1949
374;373.1952
375;275.9310
376;656.2081
377;309.7310
378;658.9271
379;659.7917
380;377.9493
381;481.9334
382;379.5890
383;484.0205
384;444.5771
385;281.7093
386;315.7897
387;283.4410
388;385.5908
389;540.7173
390;387.1540
391;271.9510
392;237.4226
393;249.1670
394;366.3730
395;367.3020
396;307.0228
397;426.0227
398;462.4391
399;505.3857
400;795.0117
401;348.7211
402;329.1481
403;244.2341
404;511.4884
405;402.8069
406;513.5662
407;298.2175
408;378.6733
409;335.0624
410;285.7337
411;301.7163
412;717.4475
413;303.0217
414;360.7483
415;444.9090
416;445.8217
417;363.1637
418;291.4796
419;265.9128
420;585.8873
421;235.3101
422;393.1143
423;295.7339
424;538.6041
425;424.1141
426;297.8284
427;259.9271
428;352.5479
429;375.4542
430;430.0163
431;669.7939
432;335.8402
433;465.9191
434;404.6603
435;434.4863
436;305.0872
437;436.7611
438;383.1013
439;472.4089
440;384.7669
441;162.9762
442;365.2378
443;283.1802
444;693.0979
445;520.7348
446;272.6421
447;330.9865
448;331.9313
449;351.3148
450;527.8838
451;373.5607
452;335.1835
453;304.2054
454;533.2731
455;427.5502
456;642.1042
457;292.8137
458;430.3851
459;323.7363
460;360.6489
461;342.6123
462;501.6600
463;408.5342
464;385.4416
465;504.9589
466;411.1997
467;366.4525
468;550.5896
469;367.9997
470;663.2902
471;443.1242
472;266.8315
473;371.5409
474;558.2227
475;447.5076
476;560.2994
477;306.5692
478;843.9313
479;356.2851
480;677.8386
481;399.6676
482;453.8886
483;325.1563
484;427.7020
485;761.2102
486;403.9284
487;299.5108
488;492.9783
489;432.2900
490;988.8002
491;301.8833
492;348.1148
493;696.9958
494;996.5574
495;465.9913
496;350.4396
497;351.3842
498;261.2423
499;441.7813
500;505.8142
501;709.0367
502;591.6941
503;355.9076
504;1017.7166
505;548.9218
506;420.7005
507;358.5398
508;422.6923
509;257.5938
510;401.6436
511;241.9520
512;427.9114
513;347.3551
514;487.2273
515;282.0521
516;524.7354
517;525.6252
518;491.5057
519;922.4416
520;528.0341
521;616.9467
522;371.1165
523;464.8302
524;496.7489
525;324.9116
526;467.9960
527;681.6265
528;536.4829
529;626.8093
530;538.1914
531;471.7907
532;378.3802
533;541.4680
534;584.0402
535;475.4673
536;586.0915
537;477.1318
538;694.9119
539;546.9289
540;451.3506
541;480.4944
542;453.1501
543;514.5014
544;772.6495
545;309.9748
546;408.8063
547;598.4058
548;708.1126
549;487.7621
550;460.0069
551;356.4113
552;413.6217
553;562.2535
554;656.8711
555;526.4185
556;878.2500
557;440.0675
558;397.0089
559;468.0027
560;663.9179
561;613.7615
562;380.8975
563;500.8638
564;501.7971
565;803.7712
566;310.1009
567;384.8831
568;539.7653
569;506.9043
570;738.2089
571;739.1140
572;740.0109
573;479.7699
574;454.0592
575;545.7943
576;630.6812
577;513.3577
578;685.3921
579;549.2459
580;485.5647
581;344.8566
582;377.1516
583;461.9040
584;2079.3039
585;438.6809
586;834.3883
587;1043.8537
588;597.4145
589;349.4381
590;699.7885
591;560.7494
592;647.9265
593;351.9134
594;384.8565
595;446.5407
596;653.5502
597;1214.5877
598;945.5627
599;532.8138
600;711.3318
601;388.9488
602;451.3060
603;343.9509
604;538.3501
605;539.2238
606;863.6483
607;617.8111
608;541.5181
609;482.2911
610;362.6726
611;396.5889
612;672.0697
613;514.8729
614;438.5903
615;462.6193
616;879.8730
617;489.7050
618;441.6231
619;328.0857
620;522.0144
621;592.5443
622;523.7712
623;469.5826
624;638.2148
625;813.1777
626;407.5406
627;897.4867
628;748.8198
629;333.7691
630;531.0434
631;753.2071
632;503.0762
633;647.7347
634;478.2170
635;909.4974
636;700.5174
637;608.0406
638;830.0532
639;761.7939
640;762.6983
641;832.9398
642;417.4227
643;707.3237
644;400.7466
645;659.2890
646;616.2014
647;544.6372
648;842.6173
649;442.3208
650;774.9689
651;716.2717
652;776.8492
653;1332.5909
654;622.8049
655;519.8917
656;468.8511
657;469.7996
658;348.9570
659;629.0315
660;411.1912
661;526.3125
662;948.2549
663;500.0249
664;950.9377
665;595.2486
666;953.2806
667;596.7210
668;735.3347
669;532.0170
670;456.9645
671;739.0940
672;370.5068
673;1204.9999
674;689.4980
675;1379.8231
676;690.8339
677;744.8863
678;807.8745
679;485.6704
680;608.0152
681;1216.8974
682;1623.3570
683;464.7663
684;698.0681
685;698.9868
686;2447.1992
687;816.6486
688;577.3945
689;578.3269
690;1405.3586
691;428.6727
692;822.5349
693;617.8252
694;1236.5090
695;396.6413
696;709.2121
697;903.5360
698;293.2844
699;499.5080
700;417.2065
701;323.9648
702;372.9178
703;1007.7755
704;1120.6350
705;1009.4597
706;481.6447
707;843.7888
708;675.9544
709;564.2342
710;424.1331
711;679.5340
712;600.4702
713;426.2847
714;602.7497
715;932.4120
716;684.6996
717;571.5168
718;606.0748
719;793.4812
720;574.0092
721;1034.0138
722;739.5063
723;576.1116
724;472.3167
725;945.5406
726;867.6598
727;651.6795
728;497.4604
729;653.8450
730;654.7168
731;419.9774
732;700.8897
733;701.8208
734;752.8784
735;422.5711
736;587.8370
737;662.2506
738;589.6098
739;664.2449
740;967.0695
741;591.9267
742;888.8052
743;593.4803
744;629.3285
745;1070.7469
746;630.7880
747;825.7981
748;826.6423
749;1075.5335
750;978.6611
751;829.0081
752;469.4815
753;470.4357
754;433.7572
755;1808.1463
756;1206.2850
757;679.4680
758;906.8667
759;1361.1736
760;545.4152
761;909.9389
762;910.8432
763;1215.3410
764;498.1370
765;843.9210
766;844.8394
767;646.9940
768;647.9336
769;918.8164
770;1575.9690
771;736.3825
772;526.9386
773;692.5406
774;739.6072
775;584.8460
776;556.5517
777;586.7895
778;2230.5940
779;1116.1946
780;744.9947
781;799.1261
782;589.7761
783;561.2341
784;802.6865
785;661.9746
786;804.7509
787;867.5717
788;705.8360
789;869.6301
790;1414.0179
791;596.3187
792;810.2145
793;757.1317
794;874.5339
795;875.4548
796;813.8477
797;1266.8699
798;1141.0807
799;672.1636
800;762.7157
801;673.9235
802;1432.9588
803;604.2970
804;638.8072
805;575.8746
806;524.4749
807;550.3480
808;643.0150
809;463.9293
810;430.5255
811;684.7150
812;1059.1013
813;971.7577
814;1167.0074
815;778.9359
816;1299.1089
817;900.3027
818;901.2224
819;533.4900
820;839.2660
821;535.0303
822;620.4550
823;694.3883
824;738.7235
825;845.1791
826;911.1080
827;790.5583
828;847.9510
829;792.3495
830;1081.3844
831;1190.4217
832;1701.3160
833;745.2539
834;663.3877
835;796.9273
836;570.1847
837;799.1905
838;999.9038
839;500.9007
840;859.6129
841;753.0333
842;635.0774
843;1509.1802
844;755.5112
845;864.3660
846;527.0872
847;933.4565
848;809.9256
849;1105.3208
850;811.4984
851;530.1473
852;678.3507
853;719.1871
854;490.0039
855;943.2181
856;876.7715
857;455.5821
858;1025.9683
859;684.9186
860;561.3399
861;1235.8350
862;773.3320
863;1768.4507
864;953.1499
865;564.1766
866;591.9934
867;1036.9005
868;655.8219
869;656.6939
870;892.1514
871;595.7162
872;782.8136
873;737.7047
874;3135.9919
875;1568.8677
876;698.2148
877;786.4275
878;1573.7129
879;663.5618
880;788.9015
881;632.0662
882;703.2200
883;528.3709
884;793.4867
885;706.2567
886;1413.3889
887;1060.9536
888;910.2923
889;638.1522
890;1161.1817
891;799.2468
892;1163.4400
893;674.4998
894;1282.4420
895;611.6374
896;1168.5739
897;919.0886
898;1839.0309
899;586.0900
900;717.2746
901;760.4042
902;995.2965
903;647.8902
904;2160.4645
905;590.1679
906;684.2957
907;929.6128
908;651.6710
909;767.6107
910;653.4153
911;934.3773
912;818.5102
913;936.3615
914;1457.4456
915;1009.9215
916;1194.4428
917;822.1135
918;774.6904
919;1198.1548
920;942.3293
921;880.4232
922;1101.4443
923;551.6769
924;946.6579
925;698.4822
926;1896.7344
927;1328.6107
928;633.6199
929;701.2523
930;1212.1540
931;741.7009
932;786.2681
933;787.2067
934;670.0739
935;1117.6999
936;789.9034
937;960.0947
938;841.0130
939;898.0121
940;709.9016
941;1499.5617
942;1227.8211
943;901.3320
944;752.0526
945;677.7961
946;754.0361
947;715.2914
948;1510.9425
949;907.4918
950;1238.3957
951;1703.6649
952;802.6578
953;650.7204
954;1367.4104
955;1710.1310
956;1710.9995
957;806.1099
958;1055.0653
959;2743.9681
960;915.5867
961;1145.3980
962;688.1874
963;1147.8891
964;811.2069
965;767.0269
966;1534.9404
967;658.7767
968;629.7832
969;924.6118
970;991.5816
971;556.2442
972;1070.6007
973;1071.5012
974;697.4207
975;930.8160
976;1397.1093
977;1165.1521
978;666.7522
979;1751.0887
980;824.9779
981;877.4716
982;878.4038
983;1278.5756
984;2344.8503
985;782.5566
986;705.2467
987;672.6133
988;831.8067
989;786.5334
990;644.4634
991;709.8460
992;1092.9921
993;677.5644
994;1779.4781
995;1095.9823
996;1425.6687
997;1188.9513
998;1427.6388
999;714.7631
1000;1022.0147
1001;623.0461
1002;1024.5010
1003;2049.7062
1004;798.0481
1005;898.7375
1006;600.1142
1007;686.7949
1008;722.0814
1009;2063.9408
1010;723.3275
1011;851.9130
1012;725.0740
1013;691.4980
1014;765.2328
1015;1454.7156
1016;607.0875
1017;767.7897
1018;858.9994
1019;696.3311
1020;732.0926
1021;1127.2116
1022;1832.5271
1023;772.5333
1024;1130.0037
1025;735.4472
1026;1338.0748
1027;614.2417
1028;702.9403
1029;1136.4381
1030;1343.9646
1031;1138.1209
1032;925.6550
1033;741.4565
1034;1348.9995
1035;990.1964
1036;1351.1702
1037;1144.2174
1038;827.3219
1039;876.9217
1040;678.5729
1041;1149.2736
1042;1245.9581
1043;787.8669
1044;1664.1367
1045;1070.7249
1046;1499.9106
1047;883.2372
1048;1073.4281
1049;1156.9158
1050;1504.8850
1051;886.1643
1052;1370.4263
1053;559.2836
1054;1079.5440
1055;889.9721
1056;1261.7062
1057;2163.7782
1058;1166.0299
1059;948.2731
1060;1518.1348
1061;1085.2726
1062;845.0395
1063;1383.6946
1064;952.2254
1065;953.1600
1066;1174.0383
1067;727.7362
1068;1390.1982
1069;638.0881
1070;730.1902
1071;731.1414
1072;1097.6390
1073;1397.8974
1074;1282.3169
1075;1283.2282
1076;906.7470
1077;1402.2400
1078;857.8653
1079;1030.3660
1080;1405.9508
1081;1406.8560
1082;968.1463
1083;1937.1620
1084;775.8011
1085;739.8075
1086;914.8190
1087;1037.7253
1088;1415.9864
1089;1731.5348
1090;1948.7883
1091;821.4877
1092;1041.4812
1093;1042.4124
1094;920.6853
1095;979.1588
1096;1045.3668
1097;872.0789
1098;748.3993
1099;874.0729
1100;875.0121
1101;1050.9446
1102;686.3512
1103;687.3050
1104;879.1635
1105;1131.2728
1106;990.7976
1107;881.6459
1108;836.1855
1109;993.9006
1110;994.8267
1111;995.7586
1112;1328.5905
1113;1139.7159
1114;726.2256
1115;1453.3538
1116;1142.8259
1117;1143.7506
1118;890.5247
1119;943.8442
1120;1070.5868
1121;1071.5070
1122;846.8659
1123;847.8035
1124;1240.0188
1125;949.1888
1126;1345.5964
1127;1077.4049
1128;770.5218
1129;1349.3269
1130;1350.2358
1131;1801.1999
1132;954.5109
1133;955.4487
1134;1250.3401
1135;813.6672
1136;1018.0191
1137;776.5776
1138;859.2679
1139;1633.5049
1140;1089.9306
1141;1487.1684
1142;1259.2911
1143;1365.1319
1144;1261.0363
1145;1261.9551
1146;965.9519
1147;822.0062
1148;1028.4341
1149;915.1014
1150;1267.9824
1151;1031.1080
1152;869.2443
1153;1377.2180
1154;1378.1240
1155;871.3401
1156;1035.6510
1157;829.4679
1158;1037.7675
1159;977.6624
1160;665.7688
1161;876.9040
1162;794.3392
1163;795.2893
1164;1856.5425
1165;796.6104
1166;761.3313
1167;882.4876
1168;1525.2036
1169;1291.4754
1170;730.9177
1171;1401.8398
1172;1294.9249
1173;1684.2964
1174;766.5380
1175;1054.9035
1176;1876.2690
1177;1536.0357
1178;994.8441
1179;1692.1319
1180;1693.0274
1181;1411.7648
1182;1130.3421
1183;942.8934
1184;1132.4026
1185;1062.5592
1186;810.4448
1187;1310.0996
1188;1065.3612
1189;947.9256
1190;1067.2812
1191;1068.1514
1192;1709.9381
1193;2443.6192
1194;1901.4708
1195;951.6755
1196;1142.9328
1197;1072.4346
1198;1560.8108
1199;1227.2771
1200;1074.8022
1201;1075.7367
