;Evaluation
0;0.9124
1;1.8236
2;3.3168
3;2.8001
4;4.1176
5;6.6539
6;4.8515
7;3.8053
8;5.9546
9;10.9902
10;12.8178
11;9.9734
12;10.9108
13;9.0173
14;11.8598
15;11.1927
16;19.8620
17;22.4294
18;21.6240
19;15.0023
20;17.6104
21;25.2996
22;17.3929
23;15.4483
24;29.4357
25;32.7936
26;18.8373
27;38.5723
28;43.3111
29;25.0036
30;25.9454
31;15.5611
32;34.1247
33;29.3783
34;44.9605
35;23.4350
36;63.3069
37;32.5952
38;31.8231
39;38.6641
40;42.1729
41;29.7030
42;39.3778
43;31.3172
44;41.4656
45;40.1017
46;56.4442
47;49.8463
48;30.8655
49;41.5515
50;40.4203
51;135.5551
52;74.8462
53;30.3583
54;37.9065
55;33.2496
56;48.1948
57;46.7287
58;41.5458
59;39.1663
60;62.1327
61;53.2653
62;49.1436
63;61.6454
64;50.8514
65;107.6803
66;77.8406
67;109.8717
68;79.4038
69;66.3304
70;87.6613
71;88.5804
72;96.8326
73;56.2813
74;52.3405
75;81.1804
76;44.4505
77;104.6263
78;66.9696
79;116.5795
80;72.1782
81;93.7263
82;188.3061
83;88.7409
84;79.2398
85;62.1794
86;137.6415
87;126.0350
88;70.2656
89;57.1706
90;103.0092
91;91.0017
92;77.5744
93;67.9478
94;214.3987
95;125.9762
96;101.7127
97;191.5659
98;171.1646
99;70.9721
100;142.8502
101;66.4262
102;84.7913
103;90.3848
104;136.4910
105;182.8706
106;79.3241
107;88.5634
108;71.0658
109;72.0193
110;144.8658
111;97.5192
112;160.4734
113;127.0098
114;105.5345
115;120.5344
116;121.4634
117;166.5326
118;123.0550
119;103.4805
120;133.9729
121;171.4163
122;100.1863
123;74.1725
124;129.4952
125;115.1982
126;109.7379
127;117.1293
128;166.8473
129;167.7568
130;155.7676
131;107.5184
132;158.0612
133;137.9100
134;188.9540
135;110.3309
136;111.2759
137;92.8764
138;98.0503
139;108.7616
140;121.7868
141;82.1517
142;117.6868
143;172.9219
144;119.2549
145;84.8776
146;105.1210
147;289.9125
148;145.8912
149;130.6213
150;131.5625
151;113.7164
152;114.6668
153;115.6166
154;270.6537
155;106.8538
156;246.5606
157;155.0326
158;124.9721
159;313.1787
160;132.8080
161;121.0949
162;102.6760
163;198.3729
164;185.1283
165;186.0503
166;290.2931
167;201.8158
168;175.8364
169;330.5606
170;241.3091
171;140.6504
172;134.5651
173;150.4585
174;194.3731
175;227.6831
176;183.0759
177;153.5037
178;461.3310
179;252.5385
180;174.5510
181;147.9256
182;256.3236
183;257.2097
184;236.6863
185;106.1543
186;359.1310
187;192.4662
188;263.3549
189;242.2403
190;323.8690
191;139.7498
192;196.5803
193;268.9642
194;228.4940
195;175.6706
196;125.3488
197;121.2914
198;190.4500
199;170.2313
200;81.6064
201;207.6019
202;208.5280
203;196.4002
204;166.3306
205;226.6576
206;187.5963
207;290.8247
208;247.0000
209;402.2399
210;215.4509
211;147.8419
212;271.9561
213;327.2351
214;137.3044
215;300.4769
216;207.5133
217;369.7870
218;222.8034
219;186.6084
220;259.2978
221;199.2255
222;131.2211
223;228.3774
224;202.4349
225;246.7331
226;216.8255
227;139.7274
228;219.1963
229;251.4284
230;294.2460
231;321.8985
232;295.9758
233;274.1273
234;255.4709
235;716.0894
236;144.1763
237;212.9635
238;330.0301
239;330.9347
240;192.4863
241;216.0694
242;307.0107
243;176.3846
244;371.3002
245;219.3478
246;197.2029
247;417.1957
248;151.1482
249;315.8006
250;542.2207
251;200.6965
252;191.6091
253;160.6203
254;276.2709
255;277.1776
256;432.0454
257;432.9287
258;279.2338
259;261.5446
260;281.1488
261;208.1048
262;264.5185
263;265.4461
264;190.5536
265;401.0588
266;191.9305
267;162.1785
268;271.2208
269;313.8672
270;340.9288
271;512.2377
272;316.1441
273;217.2357
274;295.7377
275;259.6970
276;297.7187
277;174.6247
278;350.1540
279;324.1410
280;352.0660
281;302.6952
282;265.6671
283;387.3264
284;355.9590
285;267.9046
286;307.0240
287;391.6510
288;308.6523
289;309.5727
290;394.9073
291;290.4636
292;545.4704
293;219.1349
294;439.1643
295;338.7126
296;259.9537
297;193.0942
298;234.6890
299;372.5032
300;298.9183
301;236.9344
302;237.8790
303;452.8666
304;412.5949
305;130.6430
306;416.5890
307;270.4951
308;354.6341
309;220.4811
310;331.6477
311;310.4015
312;274.7618
313;260.4309
314;361.4774
315;205.2675
316;394.3296
317;364.9146
318;317.1888
319;366.9072
320;251.9807
321;320.1075
322;267.6933
323;322.1614
324;242.5616
325;441.7445
326;304.6306
327;407.0814
328;245.1945
329;446.7146
330;378.8985
331;329.3051
332;260.9208
333;292.4938
334;311.6451
335;312.5812
336;251.0109
337;251.9581
338;315.8822
339;241.6206
340;391.2299
341;509.4102
342;340.5369
343;233.1310
344;257.3927
345;468.8526
346;469.7428
347;304.8905
348;346.4642
349;237.1702
350;522.6682
351;436.4710
352;655.5602
353;583.6069
354;292.7457
355;659.5405
356;311.2978
357;530.0946
358;312.7592
359;380.7045
360;243.2175
361;282.5631
362;336.4684
363;539.2437
364;415.6819
365;301.1561
366;493.6892
367;272.4766
368;420.1136
369;342.2717
370;548.5312
371;305.6809
372;306.6126
373;368.7819
374;292.0882
375;347.7271
376;795.6491
377;398.7357
378;399.6590
379;700.1467
380;401.0050
381;312.8350
382;403.1385
383;332.9281
384;629.7436
385;378.7714
386;299.9703
387;634.1533
388;439.9497
389;191.6100
390;288.3439
391;214.5399
392;276.7858
393;1163.2943
394;182.7296
395;293.3110
396;255.9642
397;295.2823
398;455.1985
399;282.7352
400;259.1037
401;351.4899
402;427.7309
403;461.5510
404;546.3754
405;668.6753
406;251.7069
407;336.5476
408;404.7723
409;434.6076
410;358.8499
411;278.2441
412;409.0188
413;409.9449
414;473.9276
415;268.8269
416;516.1641
417;248.7170
418;389.5527
419;231.8042
420;482.3576
421;523.4670
422;349.9125
423;180.9256
424;373.4288
425;424.1489
426;303.8666
427;399.7448
428;377.1670
429;494.1364
430;402.4171
431;430.1640
432;323.5703
433;381.6041
434;342.3797
435;651.4177
436;261.5221
437;364.1619
438;469.1338
439;506.1416
440;549.1441
441;347.7737
442;551.5524
