;Evaluation
0;1310.4521
1;0.9450
2;0.9393
3;0.9179
4;0.9367
5;0.9271
6;0.9246
7;0.9104
8;0.8914
9;0.9338
10;0.9262
11;0.9353
12;0.9383
13;0.8620
14;0.9168
15;0.9383
16;0.9442
17;0.9399
18;0.9120
19;0.8943
20;0.9259
21;0.9494
22;0.9413
23;0.9257
24;0.9324
25;0.9246
26;0.9328
27;0.9360
28;0.8891
29;0.9386
30;0.9455
31;0.9272
32;0.9332
33;0.9210
34;0.9574
35;0.9324
36;0.9325
37;0.9351
38;0.9388
39;0.9359
40;0.9600
41;0.9363
42;0.9120
43;0.9177
44;0.9515
45;0.9358
46;0.9432
47;0.9314
48;0.9501
49;0.8718
50;0.9389
51;0.9248
52;0.9461
53;0.9307
54;0.9447
55;0.8967
56;0.9102
57;0.9249
58;0.9176
59;0.9524
60;0.9413
61;0.9415
62;0.9440
63;0.9264
64;0.9045
65;0.9310
66;0.9111
67;0.8240
68;0.8828
69;0.9155
70;0.9422
71;0.8645
72;0.9269
73;0.9356
74;0.8961
75;0.9455
76;0.9450
77;0.8558
78;0.9205
79;0.9252
80;0.9125
81;0.9160
82;0.9369
83;0.9330
84;0.9387
85;0.8988
86;0.9198
87;0.9389
88;0.9353
89;0.9478
90;0.9440
91;0.9445
92;0.9533
93;0.9446
94;0.9409
95;0.8850
96;0.9194
97;0.8926
98;0.9423
99;0.8833
100;0.9247
101;0.9515
102;0.9289
103;0.9243
104;0.8704
105;0.9065
106;0.9124
107;0.9200
108;0.9243
109;0.9158
110;0.9125
111;0.9544
112;0.9299
113;0.8955
114;0.9169
115;0.9547
116;0.9332
117;0.9287
118;0.9506
119;0.9103
120;0.9293
121;0.9283
122;0.9239
123;0.9374
124;0.9032
125;0.9219
126;0.9411
127;0.8996
128;0.9372
129;0.9450
130;0.8804
131;0.9264
132;0.9491
133;0.9308
134;0.9235
135;0.9365
136;0.9457
137;0.9278
138;0.9034
139;0.6658
140;0.9466
141;0.9315
142;0.9525
143;0.9574
144;0.9528
145;0.8734
146;0.9344
147;0.9443
148;0.9415
149;0.9328
150;0.9180
151;0.9507
152;0.9398
153;0.9357
154;0.9397
155;0.9272
156;0.9244
157;0.9271
158;0.9248
159;0.9295
160;0.9148
161;0.9430
162;0.9237
163;0.9360
164;0.9178
165;0.9147
166;0.9117
167;0.9406
168;0.6296
169;0.9316
170;0.9329
171;0.9483
172;0.8813
173;0.8842
174;0.9196
175;0.8799
176;0.9384
177;0.9362
178;0.9537
179;0.9381
180;0.9069
181;0.8937
182;0.9298
183;0.8709
184;0.8161
185;0.9421
186;0.9386
187;0.9150
188;0.9349
189;0.9429
190;0.9428
191;0.9063
192;0.9371
193;0.9312
194;0.8970
195;0.9357
196;0.9024
197;0.8796
198;0.9496
199;0.9452
200;0.9268
201;0.9230
202;0.9036
203;0.9570
204;0.9538
205;0.9305
206;0.9468
207;0.9513
208;0.9384
209;0.9319
210;0.9132
211;0.9302
212;0.9382
213;0.8708
214;0.9463
215;0.9299
216;0.8989
217;0.9361
218;0.9270
219;0.8973
220;0.8805
221;0.9086
222;0.9352
223;0.8954
224;0.9211
225;0.8409
226;0.9248
227;0.9236
228;0.9371
229;0.9276
230;0.9306
231;0.9308
232;0.9055
233;0.8808
234;0.9398
235;0.9424
236;0.9535
237;0.9183
238;0.9135
239;0.9258
240;0.8880
241;0.9136
242;0.9303
243;0.9347
244;0.9170
245;0.9455
246;0.9110
247;0.9014
248;0.9186
249;0.8730
250;0.9375
251;0.9499
252;0.9104
253;0.9385
254;0.9305
255;0.9335
256;0.8923
257;0.9388
258;0.9406
259;0.9042
260;0.9074
261;0.9262
262;0.9549
263;0.9439
264;0.9124
265;0.9098
266;0.9598
267;0.9380
268;0.8944
269;0.7416
270;0.9198
271;0.9405
272;0.9448
273;0.8870
274;0.9284
275;0.9477
276;0.9107
277;0.9080
278;0.9250
279;0.9365
280;0.9116
281;0.9151
282;0.8958
283;0.9261
284;0.9048
285;0.9573
286;0.9547
287;0.9508
288;0.8846
289;0.9398
290;0.8941
291;0.9467
292;0.9119
293;0.8905
294;0.9408
295;0.9079
296;0.9537
297;0.9165
298;0.9240
299;0.9260
300;0.9361
301;0.9445
302;0.9201
303;0.9527
304;0.9305
305;0.8697
306;0.9345
307;0.9062
308;0.9345
309;0.8924
310;0.9075
311;0.9302
312;0.8436
313;0.9031
314;0.9272
315;0.9048
316;0.8855
317;0.9430
318;0.9479
319;0.9466
320;0.9418
321;0.8812
322;0.9006
323;0.9238
324;0.9235
325;0.9434
326;0.9415
327;0.9575
328;0.9448
329;0.8709
330;0.9407
331;0.9379
332;0.9437
333;0.9359
334;0.9445
335;0.8625
336;0.8655
337;0.9367
